N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.100	1253.00	56000.0	13.485	0.0396	0.3000	0.00	84.51	0.2500	0.0000	85.00	1.00	0.09	9.8066	1.290	13.423	34.925
3	0.200	1251.00	56000.0	16.977	0.0499	0.3000	0.00	84.11	0.2500	0.0000	85.00	2.34	0.22	9.8066	1.742	16.888	35.000
4	0.300	1249.00	56000.0	20.477	0.0602	0.3000	0.00	83.77	0.2500	0.0000	85.00	4.03	0.39	9.8066	2.221	20.356	35.073
5	0.400	1247.00	56000.0	23.985	0.0705	0.3000	0.00	83.47	0.2500	0.0000	85.00	6.06	0.61	9.8066	2.726	23.829	35.145
6	0.500	1245.00	56000.0	27.499	0.0808	0.3000	0.00	83.21	0.2500	0.0000	85.00	8.45	0.89	9.8066	3.252	27.306	35.216
7	0.600	1243.00	56000.0	31.021	0.0912	0.3000	0.00	82.97	0.2500	0.0000	85.00	11.18	1.21	9.8066	3.798	30.787	35.287
8	0.700	1241.00	56000.0	34.549	0.1015	0.3000	0.00	82.74	0.2500	0.0000	85.00	14.26	1.59	9.8066	4.363	34.273	35.356
9	0.800	1239.00	56000.0	38.085	0.1119	0.3000	0.00	82.54	0.2500	0.0000	85.00	17.68	2.03	9.8066	4.945	37.763	35.425
10	0.900	1237.00	56000.0	41.627	0.1224	0.3000	0.00	82.35	0.2500	0.0000	85.00	21.46	2.52	9.8066	5.543	41.257	35.492
11	1.000	1235.00	56000.0	45.177	0.1328	0.3000	0.00	82.17	0.2500	0.0000	85.00	25.58	3.08	9.8066	6.156	44.755	35.559
12	1.100	1233.00	56000.0	48.733	0.1433	0.3000	0.00	82.00	0.2500	0.0000	85.00	30.06	3.69	9.8066	6.783	48.258	35.625
13	1.200	1231.00	56000.0	52.295	0.1537	0.3000	0.00	81.84	0.2500	0.0000	85.00	34.89	4.37	9.8065	7.424	51.765	35.690
14	1.300	1229.00	56000.0	55.864	0.1642	0.3000	0.00	81.69	0.2500	0.0000	85.00	40.06	5.11	9.8065	8.078	55.277	35.755
15	1.400	1227.00	56000.0	59.440	0.1748	0.3000	0.00	81.54	0.2500	0.0000	85.00	45.59	5.92	9.8065	8.744	58.793	35.818
16	1.500	1225.00	56000.0	63.021	0.1853	0.3000	0.00	81.40	0.2500	0.0000	85.00	51.47	6.79	9.8065	9.423	62.313	35.881
17	1.600	1223.00	56000.0	66.610	0.1959	0.3000	0.00	81.27	0.2500	0.0000	85.00	57.70	7.74	9.8065	10.112	65.837	35.943
18	1.700	1221.00	56000.0	70.204	0.2065	0.3000	0.00	81.14	0.2500	0.0000	85.00	64.28	8.75	9.8065	10.813	69.366	36.004
19	1.800	1219.00	56000.0	73.804	0.2171	0.3000	0.00	81.02	0.2500	0.0000	85.00	71.22	9.83	9.8064	11.525	72.899	36.065
20	1.900	1217.00	56000.0	77.411	0.2277	0.3000	0.00	80.90	0.2500	0.0000	85.00	78.51	10.98	9.8064	12.246	76.436	36.124
21	2.000	1215.00	56000.0	81.023	0.2383	0.3000	0.00	80.78	0.2500	0.0000	85.00	86.15	12.21	9.8064	12.978	79.977	36.183
22	2.100	1213.00	56000.0	84.642	0.2490	0.3000	0.00	80.67	0.2500	0.0000	85.00	94.15	13.50	9.8064	13.720	83.522	36.241
23	2.200	1211.00	56000.0	88.266	0.2597	0.3000	0.00	80.56	0.2500	0.0000	85.00	102.50	14.88	9.8063	14.471	87.071	36.299
24	2.300	1209.00	56000.0	91.896	0.2704	0.3000	0.00	80.46	0.2500	0.0000	85.00	111.21	16.32	9.8063	15.231	90.625	36.355
25	2.400	1207.00	56000.0	95.531	0.2811	0.3000	0.00	80.36	0.2500	0.0000	85.00	120.27	17.85	9.8063	16.000	94.182	36.411
26	2.500	1205.00	56000.0	99.172	0.2919	0.3000	0.00	80.26	0.2500	0.0000	85.00	129.69	19.45	9.8062	16.778	97.743	36.466
27	2.600	1203.00	56000.0	102.819	0.3026	0.3000	0.00	80.16	0.2500	0.0000	85.00	139.47	21.12	9.8062	17.564	101.307	36.520
28	2.700	1201.00	56000.0	106.471	0.3134	0.3000	0.00	80.07	0.2500	0.0000	85.00	149.60	22.88	9.8062	18.359	104.876	36.574
29	2.800	1199.00	56000.0	110.128	0.3242	0.3000	0.00	79.98	0.2500	0.0000	85.00	160.08	24.72	9.8062	19.162	108.448	36.626
